day	wk1	wk2	wk3	wk4	wk5	wk6	cumm	covid	country
33	0	1	0	0	0	0	0	0	6
34	0	1	0	0	0	0	0	0	6
35	0	1	0	0	0	0	0	0	6
36	0	1	0	0	0	0	0	0	6
37	0	0	1	0	0	0	0	0	6
38	0	0	1	0	0	0	0	0	6
39	0	0	1	0	0	0	0	0	6
40	0	0	1	0	0	0	0	0	6
41	0	0	1	0	0	0	0	0	6
42	0	0	1	0	0	0	0	0	6
43	0	0	1	0	0	0	0	0	6
44	0	0	0	1	0	0	0	0	6
45	0	0	0	1	0	0	0	0	6
46	0	0	0	1	0	0	0	0	6
47	0	0	0	1	0	0	0	2	6
48	0	0	0	1	0	0	2	0	6
49	0	0	0	1	0	0	2	1	6
50	0	0	0	1	0	0	3	0	6
51	0	0	0	0	1	0	3	0	6
52	0	0	0	0	1	0	3	0	6
53	0	0	0	0	1	0	3	0	6
54	0	0	0	0	1	0	3	0	6
55	0	0	0	0	1	0	3	0	6
56	0	0	0	0	1	0	3	0	6
57	0	0	0	0	1	0	3	0	6
58	0	0	0	0	0	1	3	2	6
59	0	0	0	0	0	1	5	0	6
60	0	0	0	0	0	1	5	0	6
61	0	0	0	0	0	1	5	0	6
62	0	0	0	0	0	1	5	0	6
1	1	0	0	0	0	0	0	0	7
2	1	0	0	0	0	0	0	0	7
3	1	0	0	0	0	0	0	0	7
4	1	0	0	0	0	0	0	0	7
5	1	0	0	0	0	0	0	0	7
6	1	0	0	0	0	0	0	0	7
7	1	0	0	0	0	0	0	0	7
8	1	0	0	0	0	0	0	0	7
9	1	0	0	0	0	0	0	0	7
10	1	0	0	0	0	0	0	0	7
11	1	0	0	0	0	0	0	0	7
12	1	0	0	0	0	0	0	0	7
13	1	0	0	0	0	0	0	0	7
14	1	0	0	0	0	0	0	0	7
15	1	0	0	0	0	0	0	0	7
16	1	0	0	0	0	0	0	0	7
17	1	0	0	0	0	0	0	0	7
18	1	0	0	0	0	0	0	0	7
19	1	0	0	0	0	0	0	0	7
20	1	0	0	0	0	0	0	0	7
21	1	0	0	0	0	0	0	0	7
